姓名,点赞数,评论内容
摇斧头,486100,"听说出了个新的直播软件评分很低 就下载试了试
难怪评分低 刚让主播跳舞都不愿意 还问我哪个班的	"
念北不念东,209928,"想要五星好评？
叫支付宝和我谈[doge]	"
大连理工大学盘锦校区,227245,要不这样，你让你大哥帮我花呗也一次付清可以嘛[doge]可以我立马五星送上	
成都理工大学本科招生,302344,一个直播平台，在另一个直播平台，委屈求饶	
中国联通客服官方,205184,一人血书求视频美颜功能[妙啊]	
河南共青团,249051,[妙啊]免签卡能发一波不？	
江西师范大学,191338,在？能不能出个防沉迷系统？[tv_坏笑]	
天猫,212791,你钉粉丝居然比本喵高这么多，本喵实惨。[无语]	
阿里巴巴,350176,有了爸爸忘了爹？[呆]	
花开一池光,151809,看看人家这官方回应，可以写进公关教科书了，阿里旗下有人才啊	
重庆大学团委,120910,你求饶，也阻挡不了我明天用你上课[滑稽]	
等一楼台,203959,"关于钉钉。
疫情之前：[tv_疑问]
听说之后：[无语]
看见别人开始网课：[吃瓜]
查看各大商城评论：[偷笑]
知到自己要用：[惊讶]
几天后：[灵魂出窍]	"
没有一件事,69650,钉钉最终还是发现了，在B站鬼畜求饶才是救赎的道路[2233娘_卖萌][2233娘_卖萌]	
大连交通大学菁菁交大,65454,在  线  围  观[吃瓜][吃瓜]	
河南农业大学,112206,帮着种地就给五星[doge]	
北大新青年,112183,曾经我觉得我们不会用钉钉上课，所以我给了五星....现在我也打算分期了[热词系列_知识增加]	
西南大学团委,105522,你还敢开号？[doge]大家快来欺负他	
二次元的中科院物理所,88071,"U1S1
不是钉钉那个软件有问题
如果网线那头是我们在讲课
你萌是不是就都给五星好评了
[doge][doge][doge][doge][doge][doge][doge][doge]	"
大连外国语大学,94620,本来我是不想评这个论的，但是我刚刚接到通知要用你上课[惊讶]	
你好历史旗舰店,30006,建议安装青少年模式？[doge]	
湖北大学,64915,小贝喜欢分期[害羞]	
四川共青团,86112,好的我来晚了，这次就不抢热评了[呲牙]	
闲鱼,54942,性感黑燕，在线求饶[吃瓜][吃瓜]	
燊海夕阳,57020,下次一钉	
一加手机,22739,在家办公暗自流泪，你粉丝竟然还比我多[大哭]	
贵州中医药大学-易班,36878,钉钉[热词系列_知识增加]目前还没有消息的说[doge][滑稽]	
路易斯酸,29498,为啥评论区清一色小闪电？！还都是热评？！！	
艾瑞孢迪,27965,让你的姐姐支付宝把这我这个月花呗账单免了，我发动全校同学给你打五星[tv_doge][tv_doge][tv_doge]	
AutoFull傲风电竞椅,20406,妈呀，一跪下来连钉钉都变得眉清目秀了（手动[doge][doge][doge]	
上海交通大学,63121,我打五星，因为我希望大家能好好学习（其实是我们不用[妙啊]）	
沈阳工业大学,12255,下次一钉[doge]	
Yeeee-薯片,24461,在？装一下防沉迷[doge]	
池鹿是兵长的红茶杯哒,35623,只要你女装，别说五星，三连我都给你[doge][热词系列_知识增加]	
上条当麻的6个硬币,23314,来打卡了！建议搞个防沉迷[呆]	
支付宝Alipay,99061,刚查了下，已经2星半了，从分5期到分2期，少侠们给力！这回就免息了！请少侠们再接再厉，早日实现一次付清[tv_笑哭]	
光线电影官方,49368,看看人家一天涨粉20万，咱情何以堪，看看人家几万评论，咱一发就沉底，咋向领导交代，看看人家老师上课呼呼的流量，咱费劲吧啦还在做课，这可咋办？！大神，求带！！[打call][打call][打call]	
四川农业大学,10153,我们不用 我们都去种地了[妙啊]	
MSI微星显卡官方账号,12890,啥时候把直播游戏给开通下[滑稽]	
