姓名,点赞数,评论内容,评论时间
河南共青团,127833,这孩子被分期五星给刺激疯了[捂脸]...	,2020-02-22 02:31:56
天猫发言人,98693,妹纸声音好听，替换一下钉钉的系统提示音吧	,2020-02-21 20:03:59
木格妖怪,69936,你真是为了升级不择手段	,2020-02-21 20:02:29
支付宝Alipay,93857,我是不是也努力来个正版社畜？	,2020-02-21 21:06:10
成都信息工程大学,33519,在？又来给鬼畜区增加素材了？[2233娘_喝水]	,2020-02-21 22:36:10
西安交通大学,61637,在？又疯一个	,2020-02-21 20:21:37
天猫,74342,你这个黑东西好烦啊！！！[tv_白眼][tv_生气][tv_呕吐][tv_晕][tv_皱眉][tv_再见]	,2020-02-22 10:49:24
成都工业学院团委,24644,我觉得换成系统提示音效果会很好[tv_斜眼笑][tv_doge]	,2020-02-21 20:19:20
带带季子越,43777,我读书时有三个愿望，一个是能不去学校上课，二个是能玩手机，三个是能看直播，感谢钉钉把我的三个愿望一次满足了，我tm谢谢你	,2020-02-21 20:03:18
西南交通大学,28475,我听害怕了[捂眼]	,2020-02-21 20:46:07
阿里巴巴,57531,我就不信了！在这打个广告，@阿里巴巴 周末还有大活儿！看谁整活强度高！	,2020-02-21 20:54:10
辽宁科技大学,16201,钉钉:钉钉乐器大师[吃瓜]	,2020-02-21 20:27:51
大连交通大学菁菁交大,17486,还来洗脑！？[妙啊][妙啊]	,2020-02-21 20:02:49
四川大学学生电视台,8730,今晚这音乐是挥不走了[囧]	,2020-02-22 00:12:25
Yxxxx哩,10296,"[热词系列_知识增加]奇怪的音乐增加了！
(つ  と)
 ∪ω∪	",2020-02-21 20:02:48
偏灯duuu,8811,钉钉已经不满足于处理低星事件了，它想冲2020年度百大up（恍惚）	,2020-02-22 00:56:47
路过的阿兹克先生,8559,我有一个大胆的想法，阿里巴巴人才众多，再五星好评分期付款一个软件，岂不每天都有鬼畜视频看。[热词系列_知识增加]	,2020-02-21 20:43:46
菜鸟_Cainiao,8303,就把它当做闹铃了[OK][OK][OK]	,2020-02-22 02:25:46
fracture_ray,4077,众所周知，钉钉是一款音乐软件	,2020-02-21 23:25:29
